id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
NB_00537,Vi Food & Drinks,Ẩm thực,nhà hàng,20.2138722,105.9340874,"Rửa Xe Xuân Trường, Đường Tỉnh Lộ 478B, Ninh Hải, Hoa Lư, Ninh Bình, 08213",Hoa Lư,Vi Food & Drinks là nhà hàng tại Hoa Lư.,Vi Food & Drinks Ẩm thực nhà hàng Hoa Lư Ninh Bình
NB_00538,Nhà nghỉ ở Bống,Du lịch,nhà khách/homestay,20.3482177,105.5977492,"Cúc Phương, Nho Quan, Ninh Bình",Nho Quan,Nhà nghỉ ở Bống là nhà khách/homestay tại Nho Quan.,Nhà nghỉ ở Bống Du lịch nhà khách/homestay Nho Quan Ninh Bình
NB_00539,Phương Đình,Du lịch,địa điểm du lịch,20.0924472,106.0796424,"Nhà Thờ Đá Phát Diệm, Phố Phát Diệm Đông, Phát Diệm, Kim Sơn, Ninh Bình, 08706",Kim Sơn,Phương Đình là địa điểm du lịch tại Kim Sơn.,Phương Đình Du lịch địa điểm du lịch Kim Sơn Ninh Bình
NB_00540,Chợ Nam Dân,Du lịch,chợ truyền thống,20.0905335,106.0870316,"Phố Nam Dân, Phát Diệm, Kim Sơn, Ninh Bình, 08706",Kim Sơn,Chợ Nam Dân là chợ truyền thống tại Kim Sơn.,Chợ Nam Dân Du lịch chợ truyền thống Kim Sơn Ninh Bình
NB_00541,Phủ Vân Cát,Du lịch,bảo tàng,20.3683813,106.0839126,"Kim Thái, Vụ Bản, Nam Định",Vụ Bản,Phủ Vân Cát là bảo tàng tại Vụ Bản.,Phủ Vân Cát Du lịch bảo tàng Vụ Bản Ninh Bình
NB_00542,Căng-tin ở Bống,Ẩm thực,nhà hàng,20.348285,105.5976318,"Cúc Phương, Nho Quan, Ninh Bình",Nho Quan,Căng-tin ở Bống là nhà hàng tại Nho Quan.,Căng-tin ở Bống Ẩm thực nhà hàng Nho Quan Ninh Bình
NB_00543,Xuân Hoa Hotel 2,Du lịch,khách sạn,20.247739,105.9720654,"Hotel Xuân Hoa, Đường Chiến Thắng, Nam Thành, Ninh Bình",Ninh Bình,Xuân Hoa Hotel 2 là khách sạn tại Ninh Bình.,Xuân Hoa Hotel 2 Du lịch khách sạn Ninh Bình Ninh Bình
NB_00544,Xuân Hoa Hotel 1,Du lịch,khách sạn,20.2473208,105.9720748,"Điện Tử Hà Doãn, 60 Đường Chiến Thắng, Nam Thành, Ninh Bình, 08118",Ninh Bình,Xuân Hoa Hotel 1 là khách sạn tại Ninh Bình.,Xuân Hoa Hotel 1 Du lịch khách sạn Ninh Bình Ninh Bình
NB_00545,Hoang Hai Hotel,Du lịch,khách sạn,20.2541048,105.9719184,"Photocopy Vi Tính Giang Sơn, 42 Đường Trương Hán Siêu, Phúc Thành, Ninh Bình, 08117",Ninh Bình,Hoang Hai Hotel là khách sạn tại Ninh Bình.,Hoang Hai Hotel Du lịch khách sạn Ninh Bình Ninh Bình
NB_00546,Nhà Việt Hotel,Du lịch,khách sạn,20.2572186,105.9629236,"Hotel Nhà Việt, Tân Thành, Ninh Bình",Ninh Bình,Nhà Việt Hotel là khách sạn tại Ninh Bình.,Nhà Việt Hotel Du lịch khách sạn Ninh Bình Ninh Bình
NB_00547,Quang Dũng Hotel,Du lịch,khách sạn,20.2187906,105.9615486,"Đường Tỉnh Lộ 478B, Ninh Phong, Ninh Bình, 08109",Ninh Bình,Quang Dũng Hotel là khách sạn tại Ninh Bình.,Quang Dũng Hotel Du lịch khách sạn Ninh Bình Ninh Bình
NB_00548,Chợ Rồng Ninh Bình,Du lịch,chợ truyền thống,20.2561797,105.977616,"Đường Vân Giang, Vân Giang, Ninh Bình, 08107",Ninh Bình,Chợ Rồng Ninh Bình là chợ truyền thống tại Ninh Bình.,Chợ Rồng Ninh Bình Du lịch chợ truyền thống Ninh Bình Ninh Bình
NB_00549,Công viên Thúy Sơn,Du lịch,công viên,20.2599573,105.9818956,"Công Viên Thúy Sơn, Đường Ngô Gia Tự, Thanh Bình, Ninh Bình",Ninh Bình,Công viên Thúy Sơn là công viên tại Ninh Bình.,Công viên Thúy Sơn Du lịch công viên Ninh Bình Ninh Bình
NB_00550,Queen Hotel,Du lịch,khách sạn,20.2517741,105.9786693,"Tiệm Cắt Tóc Hoa Trang, 26 Đường Hoàng Hoa Thám, Thanh Bình, Ninh Bình, 08106",Ninh Bình,Queen Hotel là khách sạn tại Ninh Bình.,Queen Hotel Du lịch khách sạn Ninh Bình Ninh Bình
NB_00551,Nhà truyền thống,Du lịch,bảo tàng,20.0936117,106.0793009,"Phát Diệm, Kim Sơn, Ninh Bình",Kim Sơn,Nhà truyền thống là bảo tàng tại Kim Sơn.,Nhà truyền thống Du lịch bảo tàng Kim Sơn Ninh Bình
NB_00552,Nhà thờ Đá,Khác,địa điểm,20.0934253,106.0788553,"Phát Diệm, Kim Sơn, Ninh Bình",Kim Sơn,Nhà thờ Đá là địa điểm tại Kim Sơn.,Nhà thờ Đá Khác địa điểm Kim Sơn Ninh Bình
NB_00553,Điện Giáo Chủ,Khác,địa điểm,20.2759223,105.8657946,"Chùa Bái Đính, Gia Sinh, Gia Viễn, Ninh Bình",Gia Viễn,Điện Giáo Chủ là địa điểm tại Gia Viễn.,Điện Giáo Chủ Khác địa điểm Gia Viễn Ninh Bình
NB_00554,Gác Chuông,Khác,địa điểm,20.278992,105.8674226,"Gia Sinh, Gia Viễn, Ninh Bình",Gia Viễn,Gác Chuông là địa điểm tại Gia Viễn.,Gác Chuông Khác địa điểm Gia Viễn Ninh Bình
NB_00555,Cổng Tam Quan,Du lịch,địa điểm du lịch,20.282012,105.8690618,"Đường Quốc Lộ 38B, Gia Sinh, Gia Viễn, Ninh Bình, 08326",Gia Viễn,Cổng Tam Quan là địa điểm du lịch tại Gia Viễn.,Cổng Tam Quan Du lịch địa điểm du lịch Gia Viễn Ninh Bình
