id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
HN_01280,Cofy,Ẩm thực,quán cà phê,21.0475628,105.8421202,"Quán Tuấn Béo, Phố Phó Đức Chính, Trúc Bạch, Ba Đình, Hà Nội",Hà Nội,Hà Nội,"Cofy là quán cà phê tại Hà Nội, Hà Nội.",Cofy Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01281,Nhà Hàng Kaiba Sushi,Ẩm thực,nhà hàng,21.0211894,105.8556502,"Công Ty Cơ Khí Ngô Gia Tự-Xí Nghiệp Ô Tô Xe Máy Đông Thủy, 16 Phố Phan Chu Trinh, Phan Chu Trinh, Hoàn Kiếm, Hà Nội",Hà Nội,Hà Nội,"Nhà Hàng Kaiba Sushi là nhà hàng tại Hà Nội, Hà Nội.",Nhà Hàng Kaiba Sushi Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01282,V-cuisine,Ẩm thực,nhà hàng,21.0350189,105.8512197,"Phố Hàng Giầy, Hà Nội Old Quarter, Hàng Buồm, Hoàn Kiếm, Hà Nội, 11010",Hà Nội,Hà Nội,"V-cuisine là nhà hàng tại Hà Nội, Hà Nội.",V-cuisine Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01283,Cà Phê Maxx,Ẩm thực,quán cà phê,21.0023563,105.8449077,"Ken Salon, 125 Phố Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội, 11615",Hà Nội,Hà Nội,"Cà Phê Maxx là quán cà phê tại Hà Nội, Hà Nội.",Cà Phê Maxx Ẩm thực quán cà phê Hà Nội Hà Nội
HN_01284,ToCoToCo,Ẩm thực,nhà hàng,21.0010544,105.8452161,"Phố Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội, 11615",Hà Nội,Hà Nội,"ToCoToCo là nhà hàng tại Hà Nội, Hà Nội.",ToCoToCo Ẩm thực nhà hàng Hà Nội Hà Nội
HN_01285,KFC,Ẩm thực,quán thức ăn nhanh,20.9977381,105.8457825,"Đại Lý Ủy Quyền Của Viettel, Phố Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội, 11616",Hà Nội,Hà Nội,"KFC là quán thức ăn nhanh tại Hà Nội, Hà Nội.",KFC Ẩm thực quán thức ăn nhanh Hà Nội Hà Nội
HN_01286,Lotteria,Ẩm thực,quán thức ăn nhanh,20.9981829,105.8503479,"Công Ty Phân Phối Máy Tính, 441 Phố Bạch Mai, Trương Định, Hai Bà Trưng, Hà Nội, 11617",Hà Nội,Hà Nội,"Lotteria là quán thức ăn nhanh tại Hà Nội, Hà Nội.",Lotteria Ẩm thực quán thức ăn nhanh Hà Nội Hà Nội
HN_01287,KFC,Ẩm thực,quán thức ăn nhanh,20.9999658,105.8506201,"Khách Sạn Bông Lúa, 373 Phố Bạch Mai, Bạch Mai, Hai Bà Trưng, Hà Nội, 11618",Hà Nội,Hà Nội,"KFC là quán thức ăn nhanh tại Hà Nội, Hà Nội.",KFC Ẩm thực quán thức ăn nhanh Hà Nội Hà Nội
HN_01288,Khách Sạn A25,Du lịch,khách sạn,21.0400754,105.8448084,"Thời Trang Việt Brothers, 25 Phố Phan Đình Phùng, Quán Thánh, Ba Đình, Hà Nội, 11118",Hà Nội,Hà Nội,"Khách Sạn A25 là khách sạn tại Hà Nội, Hà Nội.",Khách Sạn A25 Du lịch khách sạn Hà Nội Hà Nội
HN_01289,Quán Bar Ler Mer Lounge,Ẩm thực,quán bar,21.0302993,105.8563024,"Ngân Hàng Tiên Phong - TienPhongBank - Phòng Giao Dịch Hàng Vôi, 26 Phố Hàng Vôi, Lý Thái Tổ, Hoàn Kiếm, Hà Nội, 11007",Hà Nội,Hà Nội,"Quán Bar Ler Mer Lounge là quán bar tại Hà Nội, Hà Nội.",Quán Bar Ler Mer Lounge Ẩm thực quán bar Hà Nội Hà Nội
