id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
H_00760,Gểnal Nguyen Chi Thahn Múeum,Du lịch,bảo tàng,16.470602,107.57292,"Hiệu Sách Hưng Thịnh, 144 Đường Đặng Thái Thân, Thuận Hòa, Huế, Thừa Thiên Huế, 49121",Huế,Gểnal Nguyen Chi Thahn Múeum là bảo tàng tại Huế.,Gểnal Nguyen Chi Thahn Múeum Du lịch bảo tàng Huế Huế
H_00761,KFC,Ẩm thực,quán thức ăn nhanh,16.4703097,107.594219,"ATM - Ngân Hàng Phương Nam - Southern Bank, 66 Kiệt 66 Đường Lê Lợi, Huế, Thừa Thiên Huế, 49118",Huế,KFC là quán thức ăn nhanh tại Huế.,KFC Ẩm thực quán thức ăn nhanh Huế Huế
H_00762,Nineties homestay,Du lịch,khách sạn,16.4703574,107.5964303,"2 Kiệt 28 Võ Thị Sáu, Huế, Thừa Thiên Huế, 49118",Huế,Nineties homestay là khách sạn tại Huế.,Nineties homestay Du lịch khách sạn Huế Huế
H_00763,Công viên 3 Tháng 2,Du lịch,công viên,16.4687361,107.5915069,"Đường Lê Lợi, Huế, Thừa Thiên Huế, 49118",Huế,Công viên 3 Tháng 2 là công viên tại Huế.,Công viên 3 Tháng 2 Du lịch công viên Huế Huế
H_00764,Điện Biên Phủ,Du lịch,địa điểm du lịch,16.4566552,107.5809463,"Đường Điện Biên Phủ, Đúc, Huế, Thừa Thiên Huế, 49124",Huế,Điện Biên Phủ là địa điểm du lịch tại Huế.,Điện Biên Phủ Du lịch địa điểm du lịch Huế Huế
H_00765,Trường Tiền Plaza,Du lịch,trung tâm thương mại,16.4709401,107.5877499,"Trường Tiền Plaza, 6 Đường Trần Hưng Đạo, Phú Hòa, Huế, Thừa Thiên Huế",Huế,Trường Tiền Plaza là trung tâm thương mại tại Huế.,Trường Tiền Plaza Du lịch trung tâm thương mại Huế Huế
H_00766,Cầu Ga,Du lịch,địa điểm du lịch,16.4572126,107.5788716,"Đường Lê Lợi, Đúc, Huế, Thừa Thiên Huế, 49124",Huế,Cầu Ga là địa điểm du lịch tại Huế.,Cầu Ga Du lịch địa điểm du lịch Huế Huế
H_00767,Trung tâm Nghệ thuật Điềm Phùng Thị,Du lịch,bảo tàng,16.4669715,107.5895601,"27 Đường Lê Lợi, Phú Nhuận, Huế, Thừa Thiên Huế, 49119",Huế,Trung tâm Nghệ thuật Điềm Phùng Thị là bảo tàng tại Huế.,Trung tâm Nghệ thuật Điềm Phùng Thị Du lịch bảo tàng Huế Huế
H_00768,Chợ An Cựu,Du lịch,chợ truyền thống,16.4574645,107.6006612,"Hiệu Vàng Phương Nam, Đường Tôn Quang Phiệt, Xuân Phú, Huế, Thừa Thiên Huế, 49106",Huế,Chợ An Cựu là chợ truyền thống tại Huế.,Chợ An Cựu Du lịch chợ truyền thống Huế Huế
H_00769,Trung tâm Thanh thiếu nhi Huế,Du lịch,bảo tàng,16.4592467,107.5822457,"2 Đường Phan Bội Châu, Vĩnh Ninh, Huế, Thừa Thiên Huế, 49120",Huế,Trung tâm Thanh thiếu nhi Huế là bảo tàng tại Huế.,Trung tâm Thanh thiếu nhi Huế Du lịch bảo tàng Huế Huế
H_00770,Phuc Long Coffee & Tea,Ẩm thực,quán cà phê,16.4634422,107.5874797,"Đường Hai Bà Trưng, Vĩnh Ninh, Huế, Thừa Thiên Huế, 49120",Huế,Phuc Long Coffee & Tea là quán cà phê tại Huế.,Phuc Long Coffee & Tea Ẩm thực quán cà phê Huế Huế
H_00771,Lang Co Market,Du lịch,chợ truyền thống,16.2293262,108.0855291,"Lăng Cô, Phú Lộc, Thừa Thiên Huế",Phú Lộc,Lang Co Market là chợ truyền thống tại Phú Lộc.,Lang Co Market Du lịch chợ truyền thống Phú Lộc Huế
H_00772,Chợ Đông Ba,Du lịch,chợ truyền thống,16.4725333,107.5886564,"Chợ Đông Ba, Đường Trần Hưng Đạo, Phú Hòa, Huế, Thừa Thiên Huế",Huế,Chợ Đông Ba là chợ truyền thống tại Huế.,Chợ Đông Ba Du lịch chợ truyền thống Huế Huế
H_00773,Ngọ Môn,Du lịch,địa điểm du lịch,16.4676824,107.5791834,"Cửa Thượng Tứ, Thuận Thành, Huế, Thừa Thiên Huế, 49116",Huế,Ngọ Môn là địa điểm du lịch tại Huế.,Ngọ Môn Du lịch địa điểm du lịch Huế Huế
H_00774,Phủ Nội Vụ,Du lịch,địa điểm du lịch,16.4706162,107.5797647,"Thuận Thành, Huế, Thừa Thiên Huế",Huế,Phủ Nội Vụ là địa điểm du lịch tại Huế.,Phủ Nội Vụ Du lịch địa điểm du lịch Huế Huế
H_00775,Cung Diên Thọ,Du lịch,địa điểm du lịch,16.4688916,107.5754008,"Thuận Thành, Huế, Thừa Thiên Huế",Huế,Cung Diên Thọ là địa điểm du lịch tại Huế.,Cung Diên Thọ Du lịch địa điểm du lịch Huế Huế
H_00776,Cung Trường Sanh,Du lịch,địa điểm du lịch,16.4697182,107.5746783,"Thuận Thành, Huế, Thừa Thiên Huế",Huế,Cung Trường Sanh là địa điểm du lịch tại Huế.,Cung Trường Sanh Du lịch địa điểm du lịch Huế Huế
H_00777,Công viên Cồn Dã Viên,Du lịch,công viên,16.4584876,107.5731966,"Đúc, Huế, Thừa Thiên Huế",Huế,Công viên Cồn Dã Viên là công viên tại Huế.,Công viên Cồn Dã Viên Du lịch công viên Huế Huế
H_00778,Công viên Phu Văn Lâu,Du lịch,công viên,16.4658048,107.5806849,"Đường Lê Duẩn, Phú Thuận, Huế, Thừa Thiên Huế, 49125",Huế,Công viên Phu Văn Lâu là công viên tại Huế.,Công viên Phu Văn Lâu Du lịch công viên Huế Huế
