id,name,domain,category_vi,latitude,longitude,address,district,description,search_text
TN_00086,Ba Be Ecolodge,Du lịch,khách sạn,22.452317,105.7108697,"Đường Tỉnh Lộ 258, Thượng Giáo, Ba Bể, Bắc Kạn, 23513",Ba Bể,Ba Be Ecolodge là khách sạn tại Ba Bể.,Ba Be Ecolodge Du lịch khách sạn Ba Bể Thái Nguyên
TN_00087,Pé Tiên Lữ Quán,Ẩm thực,quán cà phê,22.4545771,105.6751027,"Đường Tỉnh Lộ 258, Khang Ninh, Ba Bể, Bắc Kạn, 23512",Ba Bể,Pé Tiên Lữ Quán là quán cà phê tại Ba Bể.,Pé Tiên Lữ Quán Ẩm thực quán cà phê Ba Bể Thái Nguyên
TN_00088,Hoàng Liêm,Ẩm thực,nhà hàng,22.401629,105.6185266,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Hoàng Liêm là nhà hàng tại Ba Bể.,Hoàng Liêm Ẩm thực nhà hàng Ba Bể Thái Nguyên
TN_00089,Phở Lý,Ẩm thực,nhà hàng,22.13904,105.8311798,"Đường Trường Chinh, Phùng Chí Kiên, Bắc Kạn, 23106",Bắc Kạn,Phở Lý là nhà hàng tại Bắc Kạn.,Phở Lý Ẩm thực nhà hàng Bắc Kạn Thái Nguyên
TN_00090,An Vũ Hotel,Du lịch,khách sạn,22.1391942,105.8340352,"Nhà Nghỉ Cường Lương, Đường Kon Tum, Đức Xuân, Bắc Kạn, 23107",Bắc Kạn,An Vũ Hotel là khách sạn tại Bắc Kạn.,An Vũ Hotel Du lịch khách sạn Bắc Kạn Thái Nguyên
TN_00091,T.A Coffee Lab,Ẩm thực,quán cà phê,22.1521207,105.8333301,"Đường Thanh Niên, Dương Quang, Bắc Kạn, 23112",Bắc Kạn,T.A Coffee Lab là quán cà phê tại Bắc Kạn.,T.A Coffee Lab Ẩm thực quán cà phê Bắc Kạn Thái Nguyên
TN_00092,Bà Cúc bánh cuốn,Ẩm thực,nhà hàng,22.4384852,105.6548695,"Đường Tỉnh Lộ 258, Khang Ninh, Ba Bể, Bắc Kạn, 23512",Ba Bể,Bà Cúc bánh cuốn là nhà hàng tại Ba Bể.,Bà Cúc bánh cuốn Ẩm thực nhà hàng Ba Bể Thái Nguyên
TN_00093,Nga Cầu,Ẩm thực,nhà hàng,22.1434534,105.8335115,"Đường Nguyễn Văn Thoát, Đức Xuân, Bắc Kạn, 23107",Bắc Kạn,Nga Cầu là nhà hàng tại Bắc Kạn.,Nga Cầu Ẩm thực nhà hàng Bắc Kạn Thái Nguyên
TN_00094,Quán Tuân Bép,Ẩm thực,nhà hàng,22.143405,105.8336164,"Đường Nguyễn Văn Thoát, Đức Xuân, Bắc Kạn, 23107",Bắc Kạn,Quán Tuân Bép là nhà hàng tại Bắc Kạn.,Quán Tuân Bép Ẩm thực nhà hàng Bắc Kạn Thái Nguyên
TN_00095,Chợ Côn Minh,Du lịch,chợ truyền thống,22.126094,106.0220217,"Đường Quốc Lộ 3B, Côn Minh, Na Rì, Bắc Kạn, 23815",Na Rì,Chợ Côn Minh là chợ truyền thống tại Na Rì.,Chợ Côn Minh Du lịch chợ truyền thống Na Rì Thái Nguyên
TN_00096,Bon,Ẩm thực,quán cà phê,22.4540246,105.7378569,"Đường Quốc Lộ 279, Chợ Rã, Ba Bể, Bắc Kạn, 23506",Ba Bể,Bon là quán cà phê tại Ba Bể.,Bon Ẩm thực quán cà phê Ba Bể Thái Nguyên
TN_00097,Ba Be Coffee,Ẩm thực,quán cà phê,22.3988195,105.6176879,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Ba Be Coffee là quán cà phê tại Ba Bể.,Ba Be Coffee Ẩm thực quán cà phê Ba Bể Thái Nguyên
TN_00098,KFC,Ẩm thực,quán thức ăn nhanh,21.5899612,105.8271283,"Thời Trang Khánh Hương, Đường Lương Ngọc Quyến, Hoàng Văn Thụ, Thái Nguyên, 24116",Thái Nguyên,KFC là quán thức ăn nhanh tại Thái Nguyên.,KFC Ẩm thực quán thức ăn nhanh Thái Nguyên Thái Nguyên
TN_00099,Pizza Hut,Ẩm thực,nhà hàng,21.5898941,105.8271545,"Thời Trang Khánh Hương, Đường Lương Ngọc Quyến, Hoàng Văn Thụ, Thái Nguyên, 24116",Thái Nguyên,Pizza Hut là nhà hàng tại Thái Nguyên.,Pizza Hut Ẩm thực nhà hàng Thái Nguyên Thái Nguyên
TN_00100,BaBe Retreat,Du lịch,nhà khách/homestay,22.4474857,105.6099722,"Nam Mẫu, Ba Bể, Bắc Kạn",Ba Bể,BaBe Retreat là nhà khách/homestay tại Ba Bể.,BaBe Retreat Du lịch nhà khách/homestay Ba Bể Thái Nguyên
TN_00101,Chợ,Du lịch,chợ truyền thống,22.4738913,105.6468216,"Đường Tỉnh Lộ 258B, Cao Thượng, Ba Bể, Bắc Kạn, 23510",Ba Bể,Chợ là chợ truyền thống tại Ba Bể.,Chợ Du lịch chợ truyền thống Ba Bể Thái Nguyên
TN_00102,Garden Coffee,Ẩm thực,quán cà phê,22.3990403,105.6176633,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Garden Coffee là quán cà phê tại Ba Bể.,Garden Coffee Ẩm thực quán cà phê Ba Bể Thái Nguyên
TN_00103,Cà Phê,Ẩm thực,quán cà phê,22.3922293,105.6310586,"Tỉnh Lộ 254, Nam Mẫu, Ba Bể, Bắc Kạn, 23511",Ba Bể,Cà Phê là quán cà phê tại Ba Bể.,Cà Phê Ẩm thực quán cà phê Ba Bể Thái Nguyên
