id,name,domain,category_vi,latitude,longitude,address,district,province_new,description,search_text
LD_00285,Violet,Ẩm thực,nhà hàng,11.9365426,108.4302519,"Quán Ăn Hàn Châu, 10 Đường Pasteur, Phường 4, Đà Lạt, Lâm Đồng, 66115",Đà Lạt,Lâm Đồng,"Violet là nhà hàng tại Đà Lạt, Lâm Đồng.",Violet Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00286,Sea Wind Resort,Du lịch,khách sạn,10.9532721,108.2149848,"Nghinh Phong Sea Winds Resort, 139 Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận",Phan Thiết,Lâm Đồng,"Sea Wind Resort là khách sạn tại Phan Thiết, Lâm Đồng.",Sea Wind Resort Du lịch khách sạn Phan Thiết Lâm Đồng
LD_00287,Gòc Há,Ẩm thực,nhà hàng,11.9440035,108.4346276,"Câu Lạc Bộ Billiards, Đường Trương Công Định, Phường 1, Đà Lạt, Lâm Đồng, 66110",Đà Lạt,Lâm Đồng,"Gòc Há là nhà hàng tại Đà Lạt, Lâm Đồng.",Gòc Há Ẩm thực nhà hàng Đà Lạt Lâm Đồng
LD_00288,Hai Yen Family Hotel,Du lịch,khách sạn,10.9552817,108.2322306,"Khách Sạn-Nhà Hàng Hải Yến, 132 Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Hai Yen Family Hotel là khách sạn tại Phan Thiết, Lâm Đồng.",Hai Yen Family Hotel Du lịch khách sạn Phan Thiết Lâm Đồng
LD_00289,Madam Din,Ẩm thực,nhà hàng,10.9450239,108.1963367,"Nhà Hàng Trăng Thu, 51A Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận",Phan Thiết,Lâm Đồng,"Madam Din là nhà hàng tại Phan Thiết, Lâm Đồng.",Madam Din Ẩm thực nhà hàng Phan Thiết Lâm Đồng
LD_00290,Дежавю,Ẩm thực,nhà hàng,10.9417981,108.1911944,"Susu Restaurant, 21 Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Дежавю là nhà hàng tại Phan Thiết, Lâm Đồng.",Дежавю Ẩm thực nhà hàng Phan Thiết Lâm Đồng
LD_00291,Sunny,Du lịch,nhà khách/homestay,11.9486244,108.434369,"Đường Tô Ngọc Vân, Phường 2, Đà Lạt, Lâm Đồng, 66109",Đà Lạt,Lâm Đồng,"Sunny là nhà khách/homestay tại Đà Lạt, Lâm Đồng.",Sunny Du lịch nhà khách/homestay Đà Lạt Lâm Đồng
LD_00292,Piri Piri,Ẩm thực,quán thức ăn nhanh,10.9538838,108.2469951,"Nhà Hàng The Piri Piri House, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Piri Piri là quán thức ăn nhanh tại Phan Thiết, Lâm Đồng.",Piri Piri Ẩm thực quán thức ăn nhanh Phan Thiết Lâm Đồng
LD_00293,Sindbad,Ẩm thực,nhà hàng,10.9552197,108.2327195,"Đường Nguyễn Đình Chiểu, Hàm Tiến, Phan Thiết, Bình Thuận, 77117",Phan Thiết,Lâm Đồng,"Sindbad là nhà hàng tại Phan Thiết, Lâm Đồng.",Sindbad Ẩm thực nhà hàng Phan Thiết Lâm Đồng
LD_00294,Napoli Coffee,Ẩm thực,quán cà phê,11.942825,108.432072,"Đường Hai Bà Trưng, Phường 6, Đà Lạt, Lâm Đồng, 66108",Đà Lạt,Lâm Đồng,"Napoli Coffee là quán cà phê tại Đà Lạt, Lâm Đồng.",Napoli Coffee Ẩm thực quán cà phê Đà Lạt Lâm Đồng
